semana|Uni|Val|tiendas_maduras|trafico
20190109|1342.796|29276.5624346|15.361|72896.431
20190116|1183.935|25850.0250885|15.354|73712.829
20190123|1294.966|28360.883053|15.344|74623.391
20190130|1309.973|27993.3203102|15.347|73616.298
20190206|1580.556|33645.77061|15.339|77456.06
20190213|1349.106|28730.6494598|15.331|74045.213
20190220|1776.971|37735.3727396001|15.325|78983.117
20190227|1678.423|35203.8448429|15.323|75814.964
20190306|2061.804|43360.1031003002|15.334|81362.51
20190313|1986.526|42231.1810971|15.333|77701.231
20190320|1821.054|39163.1236918001|15.329|77821.136
20190327|1917.125|40314.0950769|15.33|76600.366
20190403|2174.831|45664.0810487001|15.339|80563.823
20190410|2345.561|49218.9371868001|15.348|79469.352
20190417|2591.107|54130.4842034001|15.343|82850.915
20190424|2778.233|58437.9273964003|15.344|79431.393
20190501|2705.1|57014.6735238999|15.345|81611.133
20190508|2707.262|57293.2639723|15.331|82191.483
20190515|2767.042|58475.2219697|15.336|81973.766
20190522|3137.676|66154.3082126001|15.325|82948.882
20190529|3057.069|64172.0306419002|15.33|81414.534
20190605|2825.218|59250.4142967|15.335|82955.379
20190612|3431.431|72072.1185732999|15.33|82045.021
20190619|3175.406|67816.1204074|15.332|83882.964
20190626|3033.625|64800.1369969|15.337|81252.215
20190703|2917.997|62421.0059130001|15.36|83295.968
20190710|2943.508|62649.0389635001|15.361|81438.875
20190717|3094.857|65949.4928586001|15.348|82415.533
20190724|2766.446|58629.1345402|15.351|79613.665
20190731|2810.618|59564.3555602|15.358|80628.611
20190807|3122.817|66045.4990191|15.343|83422.875
20190814|2947.702|62025.4066777001|15.308|81231.896
20190821|3162.271|65842.9890497|15.325|83912.23
20190828|2632.753|54832.0070763|15.333|79642.24
20190904|2688.916|56123.3761865|15.335|82491.041
20190911|2244.72|46874.6489619001|15.324|78009.848
20190918|2351.829|50126.1549041001|15.32|81504.114
20190925|2050.124|44752.3617302001|15.328|77995.933
20191002|1965.446|42827.8407072|15.342|80252.106
20191009|2034.037|44273.6647509002|15.338|78890.229
20191016|1935.385|40801.3064918999|15.342|78868.062
20191023|1870.128|39271.2559114|15.341|77770.481
20191030|1742.704|36593.4116909001|15.35|75764.645
20191106|1679.218|35965.2148105001|15.354|73882.51
20191113|1706.161|36524.3128403001|16.34|77864.526
20191120|1801.933|38406.731113|16.353|81295.917
20191127|1716.224|36786.3179574|16.382|68622.899
20191204|1856.304|39859.9890550001|16.414|68910.769
20191211|1862.775|40045.2765693|16.424|82288.489
20191218|1972.761|42504.5758118999|16.429|78806.077
20191225|1949.803|41915.6741906001|16.423|81926.175
20200101|1754.509|37575.6909898|16.411|69837.448
20200108|1582.563|35206.0938039|16.932|76790.249
20200115|1585.215|35221.7630633|16.932|78520.61
20200122|1509.446|33517.5303283|16.926|79146.479
20200129|1612.181|34493.7046579|16.92|78104.006
20200205|1637.737|36511.9989401|16.334|75627.263
20200212|1724.234|37516.039958|16.587|67681.785
20200219|1986.005|43100.5276756|16.349|78147.609
20200226|1817.612|40827.3962318|16.286|74923.519
20200304|1992.45|44653.7093389|16.284|64648.838
20200311|1813.101|40651.0798219|16.219|74783.222
20200318|2242.869|50153.1017046|16.288|77845.614
20200325|1847.249|39214.6168920001|16.385|69751.877
20200401|1946.082|40981.1586714|16.248|58616.098
20200408|1773.877|37209.2453206999|16.719|56057.492
20200415|1781.893|37074.4760516999|16.241|60563.674
20200422|1947.246|40690.1234248|16.638|62841.07
20200429|1920.967|43406.7190985|16.709|61074.221
20200506|2019.454|45413.4884715999|16.134|40240.005
20200513|1767.924|39271.9774863|16.386|47253.413
20200520|2310.673|49726.0240556999|16.706|14798.23
20200527|2278.556|49010.7496795|16.71|20634.848
20200603|2081.43|45111.9483480999|16.705|50747.76
20200610|2493.068|53999.3282054|16.7|65998.29
20200617|2408.287|50700.0838106001|16.739|67121.756
20200624|2561.474|53795.2935447001|16.732|65920.171
20200701|2453.447|51522.2833053999|16.728|57374.222
20200708|2787.882|58386.2608958002|16.736|46133.857
20200715|2867.21|63582.1035812998|16.734|67171.403
20200722|2620.096|57911.3368391001|16.725|67512.551
20200729|2209.059|48855.6957097999|16.686|64162.781
20200805|2538.888|56170.6535773001|16.668|41022.281
20200812|2402.43|52794.9060465001|16.625|65920.804
20200819|2789.014|58797.2097084999|16.627|68623.166
