text,label,uuid
La entrada est bloqueada. Por problemas entre la comunidad. No hay fechas para cuando poder visitarla.,0,1175
"Las mas impresionantes formaciones de rocas con carcter de prismas naturales, cascadas y un ambiente extremadamente natural. Difcil de evitar conocer.",4,3324
"Este lugar est dentro del hotel Agua Escondida y tiene la vista del zcalo.
No siga el mapa que encuentra el restaurante a otro sitio, pero busque la direccin.
La comida es correcta pero nada especial.",2,2446
"Un hotel bastante tradicional, entre la naturaleza con espacios abiertos y agradables, personal atento y buenas instalaciones, aunque como otros hoteles algo retirado del centro y sin nada alrededor. La alberca natural es muy bonita y hay gallinas y pjaros por todas partes. Las camas podran ser un poco mas comodas. ",2,3411
"Nos hicieron esperar 40 minutos para entrar y cuando al fin entramos nos dijeron que solo el men de la pared es el que se sirve, que todo era vegano  eso s, muy groseramente",0,1985
"Espacioso y estado natural que incluye un petit Trail Eco. Cascade Las habitaciones del hotel tienen o chalets con 1 o 2 habitaciones. Distancia a pie hasta el mostrador de recepcin y restaurante. Un alojamiento limpio, pero no hay espacio suficiente para colocar su belleza y cosas baera en el bao. Desayuno buffet mexicano con una vista de la cascada. Perfecto para los fines de semana, los nios y las familias.",2,1942
"Excelente servicio en posada don Bosco  Limpio,que es lo que buscamos y comida tradicional todo muy rico y el tradicional  el chocolate de metate lo hace parecer mejor por su esqu sito sabor y lugar es muy tradicional que demuestra nuestras sabores colores y tradiciones mexicanas .. Es un lugar hermoso para recomendar",1,56
"Instalado en el claustro del convento de Santo Domingo, alberga obras maestras de la produccin textil de Chiapas. Son bellsimas. No se lo pierdan",3,1545
"Psimo hotel, viejo, servicio horrible, comida horrible, instalaciones viejas, nada recomendable, lamentable la experiencia.  El personal no resuelve nada, lento para atender, las habitaciones se escucha todo lo del vecino.  Cucarachas en los pasillos, pelos en los alimentos, en fin .....",0,1419
Al llegar los meseros nos ignoraron. Cuando abordamos a uno nos dijo que nos podamos sentar pero que para servirnos tardaran muchsimo. Les preguntamos si nos podramos sentar en una zona menos ruidosa y nos dijeron que entonces todava se tardaran ms en atendernos. Todo...Ms,0,727
Espaol es necesario para apreciar completamente este museo. Tienen fragmentos de artefactos mayas pero la mejor parte fue el personal/guardia? Quien explic algunas de las tradiciones mayas hoy en da. l era evidente que pudiramos seguirle en nuestro espaol bsico.,1,2051
"Esta muy bien ubicado al lado de la gasolineria, sobre la avenida para la salida y cerca del centro, taller de motos en la esquina de arriba y abajo, super chedraui,la vista super buena en la noche, con la alberca hasta 9pm o 10 pm, muy grande, cuartos originales con entrada como si fuera mina, y si coincido con algunos, le falta mantenimiento para levantarlo (pintura), las camas muy comodas y las habitaciones sencillas p el precio. Tienen hermosos y cariosos gatitos (2)",2,1402
"Sper lejos del pueblito, el camino de acceso al hotel psimo. El restaurant malo. La alberca sucia. Nada que ver con las fotos con las que promocionan el hotel. Total que es caro para los escasos servicios que ofrece.",1,4368
"De lejos, uno de los mejores restaurantes visitados en la zona. La combinacin de ingredientes y sabores le llevar en un viaje maravilloso de comida deliciosa. Desde los entrantes al postre, 'le ove este lugar. Haga la reserva con bastante antelacin.",4,3951
